esgType,Sector,industry,Company,locationName,locationGeneralType,locationType,countryName,latitude,longitude,NonGHGAirPollutants,GHGEmissions,SoilPollutants,SolidWaste,WaterPollutants,WaterUse,WaterQuality,waterStressScore,MarineEcosystemUse,FreshwaterEcosystemUse,ProductionProcess,landUsage,TotalSpeciesCount1km,located_within_KBA_or_Not,located_within_WPA_or_Not,area_KBA_1km,area_WPA_1km,distance_Kms_to_closest_KBA,distance_Kms_to_closest_WPA,AnnualHurricaneOccurance250Km,AnnualMaxStormSpeed250Km,AnnualLandslideOccurance25Km,RiverineInundation2030RCP45ReturnPeriod100,RiverineInundation2050RCP45ReturnPeriod100,RiverineInundation2080RCP45ReturnPeriod100,RiverineInundation2030RCP85ReturnPeriod100,RiverineInundation2050RCP85ReturnPeriod100,RiverineInundation2080RCP85ReturnPeriod100,CoastalInundation2030RCP45ReturnPeriod100Percentile95,CoastalInundation2030RCP85ReturnPeriod100Percentile95,CoastalInundation2050RCP45ReturnPeriod100Percentile95,CoastalInundation2050RCP85ReturnPeriod100Percentile95,CoastalInundation2080RCP45ReturnPeriod100Percentile95,CoastalInundation2080RCP85ReturnPeriod100Percentile95,heatwaveRiskScore_2025_RCP45,heatwaveRiskScore_2025_RCP85,heatwaveRiskScore_2050_RCP45,heatwaveRiskScore_2050_RCP85,heatwaveRiskScore_2075_RCP45,heatwaveRiskScore_2075_RCP85,heatwaveRiskScore_2100_RCP45,heatwaveRiskScore_2100_RCP85,coldwaveRiskScore_2025_RCP45,coldwaveRiskScore_2025_RCP85,coldwaveRiskScore_2050_RCP45,coldwaveRiskScore_2050_RCP85,coldwaveRiskScore_2075_RCP45,coldwaveRiskScore_2075_RCP85,coldwaveRiskScore_2100_RCP45,coldwaveRiskScore_2100_RCP85,annualAccumilatedRainfall2030RCP45,annualAccumilatedRainfall2030RCP85,annualAccumilatedRainfall2050RCP45,annualAccumilatedRainfall2050RCP85,annualAccumilatedRainfall2080RCP45,annualAccumilatedRainfall2080RCP85,Year,ChlorophyllPercentage_100m,ChlorophyllPercentage_1000m
ESG_109452,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnergies Millau Office,Office,Office,France,44.0949522,3.0813755,,,,M,,,,4.8422286,,,Oil and gas services,0.000843193,852,0,1,0,3.143,2.541,0,,,,1.172,1.206,1.246,1.144,1.188,1.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5,57.08,53.75,52.42,55.83,46.67,2023,5.63,2.51
ESG_109453,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,Total Energies E&P Victoria Island Nigeria,Office,Office,Nigeria,6.4297983,3.4302372,H,H,H,H,H,VH,,9.70401146,M,H,Oil and gas exploration surveys,0.005526945,1119,0,0,0,0,88.625,19.115,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.5,143.33,144.92,142.67,145.42,145.75,2023,0,0
ESG_109454,Energy,Independent Power and Renewable Electricity Producers,TotalEnergies SE,Puyloubier Solar Plant,Plant,Solar Farm,France,43.51042,5.65686848,,,L,,L,VH,,26.63124571,,,Solar energy provision,0.349491347,883,0,0,0.191,0,0.685,1.271,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,59.67,58.67,59.25,55.92,60.67,50.75,2023,3.65,0.29
ESG_109455,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnergies EP Italia,Office,Office,Italy,40.6249373,15.796054,H,H,H,H,H,VH,,63.72072575,M,H,Oil and gas exploration surveys,0.012693583,719,0,0,0,0,16.763,4.52,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,47.75,46.75,46.42,45.08,39.75,2023,0,0.36
ESG_109457,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnergies Lattes Office,Office,Office,France,43.5848236,3.9225962,,,,M,,,,27.79111531,,,Oil and gas services,0.003675332,941,0,0,0,0,2.26,2.252,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.33,55.58,55.17,52.42,56.08,48.25,2023,1.51,0.58
ESG_109458,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnergies Toulouse Office,Office,Office,France,43.6349932,1.4521726,,,,M,,,,14.52310361,,,Oil and gas services,0.000546676,752,0,0,0,0,3.743,3.742,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.67,52.67,48.92,46.75,48.83,40.33,2023,0,0.01
ESG_109460,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnergies Dijon Office,Office,Office,France,47.3642498,5.0502493,,,,M,,,,3.311553894,,,Oil and gas services,0.013027463,797,0,0,0,0,10.407,4.634,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,66.58,68.5,67.67,62.92,69.42,61.25,2023,0,0.75
ESG_109462,Energy,Independent Power and Renewable Electricity Producers,TotalEnergies SE,Callian Solar Plant,Plant,Solar Farm,France,43.64092556,6.763643014,,,L,,L,VH,,17.15676715,,,Solar energy provision,0.456791268,912,0,0,0,0,10.499,1.362,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.25,61.92,62.75,59.33,63.92,54.5,2023,0,0
ESG_109463,Energy,Independent Power and Renewable Electricity Producers,TotalEnergies SE,Total Eren Callian Solar Plant,Plant,Solar Farm,France,43.64092556,6.763643014,,,L,,L,VH,,17.14980682,,,Solar energy provision,0.380535486,912,0,0,0,0,10.488,1.374,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.25,61.92,62.75,59.33,63.92,54.5,2023,0,0
ESG_109464,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,Saft America North Haven Office,Office,Office,United States of America,41.3658205,-72.86284,,,,M,,,,56.02999697,,,Oil and gas services,0.012793644,579,0,0,0,0.098,26.255,0.403,,,,0.988,1.004,1.14,1.032,1.14,1.166,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,101.92,101.92,103.42,103.5,105.08,107.5,2023,0,2.04
