Location,Year,ChlorophyllPercentage_100m,ChlorophyllPercentage_1000m
ESG_160732,2023,2.94,0.3
ESG_160735,2023,0.05,0.04
ESG_160736,2023,0.68,0.45
ESG_160739,2023,7.82,0.44
ESG_160741,2023,11.78,5.3
ESG_160743,2023,0.24,0.6
ESG_160744,2023,0.0,0.07
ESG_160745,2023,0.0,0.0
ESG_160747,2023,6.69,0.73
ESG_160749,2023,0.3,0.01
ESG_160763,2023,3.98,8.97
ESG_160767,2023,0.0,0.01
ESG_160770,2023,12.09,1.19
ESG_160774,2023,0.65,0.86
ESG_160778,2023,0.0,0.06
ESG_160779,2023,0.0,0.45
ESG_160796,2023,28.49,3.27
ESG_160799,2023,5.52,2.63
ESG_160802,2023,0.3,0.52
ESG_160805,2023,0.57,0.12
ESG_160807,2023,0.17,1.11
ESG_160809,2023,0.0,0.28
ESG_160811,2023,0.0,0.3
ESG_160813,2023,1.7,2.59
ESG_160815,2023,1.25,1.36
ESG_160822,2023,0.0,1.55
ESG_160825,2023,0.63,4.57
ESG_160828,2023,0.79,6.19
ESG_160832,2023,0.0,9.31
ESG_160835,2023,0.0,0.14
ESG_160838,2023,14.81,5.45
ESG_160839,2023,10.5,12.59
ESG_160841,2023,14.76,6.44
ESG_160842,2023,5.85,5.61
ESG_160844,2023,7.97,12.21
ESG_160845,2023,13.92,5.39
ESG_160859,2023,0.4,24.69
ESG_160864,2023,0.0,0.3
ESG_161981,2023,0.0,0.12
ESG_161984,2023,0.0,0.01
ESG_161986,2023,0.98,0.27
ESG_161988,2023,0.0,0.1
ESG_161992,2023,1.58,2.2
ESG_161995,2023,0.0,0.0
ESG_161998,2023,,
ESG_161999,2023,0.0,40.18
ESG_162003,2023,6.68,0.62
ESG_162006,2023,0.0,1.01
ESG_162009,2023,0.0,3.17
ESG_162015,2023,,
ESG_162018,2023,5.84,1.33
ESG_162019,2023,0.0,12.68
ESG_162021,2023,0.42,0.37
ESG_162023,2023,0.0,0.07
ESG_162025,2023,0.17,1.35
ESG_162029,2023,0.0,32.11
ESG_162030,2023,0.0,10.4
ESG_162032,2023,0.0,0.0
ESG_162036,2023,0.0,1.3
ESG_162040,2023,0.0,0.01
ESG_162041,2023,0.16,0.13
ESG_162043,2023,1.75,38.73
ESG_162044,2023,3.74,0.44
ESG_162049,2023,12.08,1.81
ESG_162053,2023,0.35,3.35
ESG_162063,2023,0.0,0.49
ESG_162066,2023,0.0,0.63
ESG_162070,2023,0.93,0.48
ESG_162072,2023,0.0,0.24
ESG_162082,2023,0.0,0.15
ESG_162083,2023,,
ESG_162088,2023,7.54,14.95
ESG_162089,2023,0.0,1.15
ESG_162091,2023,,
ESG_162119,2023,1.46,2.35
ESG_162122,2023,0.0,0.96
ESG_162124,2023,2.47,0.73
ESG_162127,2023,2.19,31.24
ESG_162130,2023,0.8,0.77
ESG_162133,2023,0.0,0.13
ESG_162135,2023,3.05,0.8
ESG_162136,2023,0.79,0.07
ESG_162137,2023,0.0,0.18
ESG_162138,2023,0.0,1.32
ESG_162140,2023,0.0,0.11
ESG_162142,2023,1.29,12.91
ESG_162143,2023,0.23,0.28
ESG_162144,2023,1.09,32.61
ESG_162146,2023,0.0,0.15
ESG_162151,2023,0.18,0.7
ESG_162153,2023,0.12,17.24
ESG_162154,2023,0.0,0.54
ESG_162156,2023,11.79,8.65
ESG_162159,2023,0.0,1.28
ESG_162162,2023,,
ESG_162163,2023,0.19,0.35
ESG_162166,2023,0.0,0.11
ESG_162170,2023,0.0,0.02
ESG_162171,2023,0.24,0.2
ESG_162172,2023,0.0,0.65
ESG_162173,2023,0.0,0.05
ESG_162176,2023,0.0,0.56
ESG_162178,2023,0.0,0.02
ESG_162181,2023,0.0,0.12
ESG_162183,2023,0.0,0.0
